@@,itemlabel,item,startdate,enddate
->,Николай Михайлович Макиевский->Макиевский Николай Михайлович,Q51668312,1990,1997
->,"Кулмаханов, Шалбай Кулмаханович->Шалбай Кулмаханов",Q4246406,1997,2001
->,"Нуркадилов, Заманбек Калабаевич->Заманбек Нуркадилов",Q1087691,2001,2004-03-13
->,"Бижанов, Нурахмет Кусаинович->Нурахмет Бижанов",Q4086476,2004-03-13,2004-09-30
->,"Копеев, Мухамбет Жуманазарулы->Мухамбет Копеев",Q4232268,2004-09-30,2005-08-11
->,"Кулмаханов, Шалбай Кулмаханович->Шалбай Кулмаханов",Q4246406,2005-08-11,2007-01-11
->,"Храпунов, Виктор Вячеславович->Виктор Храпунов",Q1377512,2007-01-11,2007-10-31->2007-11-01
->,"Божко, Владимир Карпович->Владимир Божко",Q4090191,2007-11-13,2014-08-06
->,"Беккер, Владимир Робертович->Владимир Беккер",Q97182594,2014,2020
->,"Ильин, Юрий Викторович (государственный деятель)->Юрий Ильин",Q99693149,2020-09-11,
