item,itemLabel,startDate,endDate,psid
Q1087691,"Нуркадилов, Заманбек Калабаевич",2001,2004-03-13,Q1087691-583C9FB6-B670-4899-B647-9B65CE7FB604
Q1377512,"Храпунов, Виктор Вячеславович",2007-01-11,2007-10-31,Q1377512-7C0267CC-AAD1-4797-B2D6-E20F5B5ECE87
Q4086476,"Бижанов, Нурахмет Кусаинович",2004-03-13,2004-09-30,Q4086476-32DC1FFC-CFB0-451B-AF50-21A7B8B85C19
Q4090191,"Божко, Владимир Карпович",2007-11-13,2014-08-06,Q4090191-7A453B6B-7224-4709-BFAD-C77C673E7C1E
Q4232268,"Копеев, Мухамбет Жуманазарулы",2004-09-30,2005-08-11,Q4232268-E14F0029-CDF8-4BF2-9012-4DB63AFD548E
Q4246406,"Кулмаханов, Шалбай Кулмаханович",2005-08-11,2007-01-11,Q4246406-98B36214-8736-445C-BE96-51971A0B97AE
Q4246406,"Кулмаханов, Шалбай Кулмаханович",1997,2001,Q4246406-A0811808-A326-4319-9DB3-7DDF1878D511
Q51668312,Николай Михайлович Макиевский,1990,1997,Q51668312-B3CD1A99-E251-4C7D-9A05-973D74A322D5
Q97182594,"Беккер, Владимир Робертович",2014,2020,Q97182594-97BDF147-6B05-42C8-B713-06142AB371F9
Q99693149,"Ильин, Юрий Викторович",2020-09-11,,Q99693149-B15E7ADD-E340-4F87-BD3E-80D6D1214243
