item,itemLabel,startDate,endDate,psid
Q1045973,"Мухамеджанов, Бауржан Алимович",2005-10-14,2009-04-02,Q1045973-94EAA7D8-B3A9-4E80-9247-A134FA46C8FE
Q12542039,"Тургумбаев, Ерлан Заманбекович",2019-02-12,,Q12542039-1CF650F9-FDA7-489C-8150-BE63AD72588D
Q1722547,"Касымов, Калмуханбет Нурмуханбетович",2011-04-11,2019-02-12,Q1722547-AEB20AF6-9F19-4D39-8A29-78A098F4D46C
Q4075062,"Баекенов, Булат Абдрахманович",1994-10,1995-11,Q4075062-F6F0961E-A5E2-4A5B-B1C5-3296F53A774E
Q4085186,"Берсенёв, Михаил Терентьевич",1991-12-16,1992-04,Q4085186-BAEC4A99-1FEB-44CE-9E2E-36081F8446D9
Q4203816,Болат Газизович Искаков,2000-12,2002-01,Q4203816-EBA41A1E-75DF-4397-B617-D0F5FC02CD7F
Q4527815,"Шумов, Владимир Георгиевич",1992-04,1994-09,Q4527815-DB5616DB-73DE-4BD8-A8C6-890FFE3C4D7B
Q461089,Серик Нуртаевич Баймаганбетов,2009-04-02,2011-04-11,Q461089-B369B942-B310-4E4A-93DD-59F01DE9F915
Q4740849,"Сулейменов, Каирбек Шошанович",1995-10,2000-12,Q4740849-1704BFB5-577D-46CE-A125-63E6EBB71BC8
Q4740849,"Сулейменов, Каирбек Шошанович",2002-01,2003-09-12,Q4740849-83F6EC14-8463-41B9-94B0-7EED9C3E0A80
Q976657,"Турисбеков, Заутбек Каусбекович",2003-09-12,2005-10-14,Q976657-A0487F4C-06C3-4239-AA28-55F44CE0CA6B
